ulasan_bersih,sentiment_score,sentiment_category,predicted_rating,panjang_ulasan
gak nnton konten filmnanjink,0,Netral,3,4
salah,-4,Negatif,2,1
rusak tolong benerin,-6,Negatif,1,3
stelah sya bayar langgan mlah film nya gk yg bsa putar stupun,-1,Negatif,2,12
err trus pas putar kemaren aman aja,4,Positif,4,7
disneyhotstar bagus banget suku nge lag gak tontonkalau kayak gin rugi langgan disneyhotstar,-9,Negatif,1,13
gatau bug black screen tbtb out app ganggu sih,-5,Negatif,1,9
tolong donk nntn tp eror ya tulis nya alami putar video sila coba mainkam judul errpb tolong baik,-11,Negatif,1,18
hibur,0,Netral,3,1
error,-5,Negatif,1,1
err pb,0,Netral,3,2
untung support customer ngebantu mantap disney,8,Positif,5,6
halo kakk klo bayar pakai pulsa dana aja tdk pake kartu kredit tambahanni tampil ngga smooth yah kayk macet macet gtu ngga lancar play film hmm,-9,Negatif,1,26
bagus apk nya suka,-5,Negatif,1,4
seruuu,0,Netral,3,1
buffering gajelas internet kenceng lancar jaya,0,Netral,3,6
emmm bagus si aplikasi nya ,-10,Negatif,1,5
buka nonton udh idk dftar gagal,-10,Negatif,1,6
yg baik yg parah bwt streaming pas nonton yg udh download gak,-3,Negatif,2,12
udh langgan ga nonton dgn ket salah konten drm,-2,Negatif,2,9
aplikasi error salah silah coba ssat yg muncul pdhl ud langgan,-12,Negatif,1,11
udh langgan d knp,2,Positif,4,4
yg bsa tonton gratis hrus langgan dlq hpus lg apk ya,6,Positif,5,11
ya disney apk by u dah bilang gratis disney bukak apk disney langgan tolong jawab,0,Netral,3,15
error pl gabener nih udah kali kali eror kali kali restart hp,-9,Negatif,1,12
disney putar film layan perangkat,-2,Negatif,2,5
ya udah beli paket langgan langgan yahhhhhh,9,Positif,5,7
mantab,0,Netral,3,1
arah langgan langgan telkomsel tonton film,-4,Negatif,2,6
pakai aplikasi nnti kasih nomor hp kode kirim,-6,Negatif,1,8
langgan telkomsel suruh langgan aneh,-2,Negatif,2,5
aplikasi kadang buka kadang buka tolong baik bug yg resah nyaman,-8,Negatif,1,11
seru,-5,Negatif,1,1
gue suka bnget pke apk initapi semenjak ad pembaruanapk nya nge bug nyanonton film loading pake wifidan sendiriini baik buru mohon baik apk nya admin,-3,Negatif,2,25
ga tau udah berlanganan tpi ga nonton suruh bayar udang langanan,-9,Negatif,1,11
salah pl udah clear cache kecewa,-4,Negatif,2,6
update movie lelet molor gak atur,-4,Negatif,2,6
lambat bet buka sinyal bagus film yg udah donlot kgk jalan film,-9,Negatif,1,12
error,-5,Negatif,1,1
bagus,-4,Negatif,2,1
aplikasi sampah tibatiba gak nonton suruh langgan ulang indihome nya langgan indihomenya gak telat bayar alhasil ribet nelfon cs indihomenya komplain soal baik,-20,Negatif,1,23
langgan nonton gak loading tpi gilir trialernya dibukagmna sia langgan tpi gak nonton sma sekalilumayan bngt rb layang gitu aja niat hati pngn libur tpi loading muter parahh,1,Positif,4,28
gak bs buka yah loading gak bs pake paket data wifi aplikasi,-6,Negatif,1,12
ya disneyy something went wrong terusss pdahal sinyal lancarlancar aja ngegame lancar berkalikali coba buka ttep kek gitu gaada gambar beli paket premium kecewa tolong baik minimal kasih solusi terimakasih,-3,Negatif,2,30
semenjak baru gak nonton terang nl cacat produk,-5,Negatif,1,8
login gbsa langgan tolong donk ga kirim kode buka,-4,Negatif,2,9
cek x ,-4,Negatif,2,2
pliss disney gada tv smart samsung kerjasama sma tizen biar nambah keren smart tv gw,0,Netral,3,15
nntn gratis sekali bayar yh nntn ,0,Netral,3,6
gk beres beres download nya,0,Netral,3,5
paket yg otomatis dri beli kuota byu connect aplikasi disney hotstar,-2,Negatif,2,11
baik,-1,Negatif,2,1
diupdate gak nonton film yg download download gitu habisin kuota gitu sampah ,-6,Negatif,1,12
aneh banget yaberapa kali coba log in tv nggak bisamalah masuk kode yg kirim nomor hp yg pakai log in nggak minta kode yg arah dr tv tolong baik,-27,Negatif,1,29
ga langgan aplikasi bug bundling telkomsel skrg,-2,Negatif,2,7
install hp gambar sendat sendat spek hp ngga jelek koneksi via wifi tlng developer tunggu updatenya bug nya hilang,-20,Negatif,1,19
langgan aja susah sistem bayar transaksi tolak,-7,Negatif,1,7
kecewa nontn hp loading tv bagus mohon baik jgn kalah ma yg iqiyi netflix,-11,Negatif,1,14
dah beli paket internet byu langsung paket kenapaa gak,5,Positif,5,9
langgan aja transaksi tolak udh deteksi finger print tetep gabisa yauda maap ya uninstall,0,Netral,3,14
langgan gak eror parah,-7,Negatif,1,4
disney hotstar gmn langgan gak tolak,-2,Negatif,2,6
knp agk lag y,0,Netral,3,4
saldo info akun bener transaksi tolak mulu niat jual gak sih ni apk,-2,Negatif,2,13
udah langgan tahunterus akun masuk login akun beli langgan gimana developer langgan,0,Netral,3,12
udah gak promo free telkomsel auto uninstal bye,3,Positif,4,8
series nya gak flimyaha lebih sih bagusbanyak flim bagus,-3,Negatif,2,9
susah login sma kode verifikasi pdhl udh langgan dr indihome,-4,Negatif,2,10
yah ngak tonton film n serisnya sinyal full cepat full salah tulis,-11,Negatif,1,12
penguna coba pakai bulan bayar google play akses,-3,Negatif,2,8
sambung tv good ,2,Positif,4,3
kecewa nonton suruh bayar,-5,Negatif,1,4
yah langgan bulan gabisa yah bayar nya close bulan gak,-5,Negatif,1,10
gak putar perangkat ya,4,Positif,4,4
asliker,0,Netral,3,1
freeze mohon baik,-3,Negatif,2,3
langgan susah si ganti gmail laku banding netflix bener rib aplikasi,-12,Negatif,1,11
scene yg skip,0,Netral,3,3
layar gelap nggak gambar suara teks doangini,-14,Negatif,1,7
bagus,-4,Negatif,2,1
suka,-1,Negatif,2,1
kira film nya kumplitkenapa langgan aplikasi ini cari gk adacari gk rugi sih nyesek nya loh,-16,Negatif,1,16
ko bayar sih gak puas kalo,0,Netral,3,6
mantap bangetsih paket murah tonton tarik moga gak nemu bug bug apa,1,Positif,4,12
gak login tv udah ngikutin arah macet pas nntn kayak nntn cd hd,-6,Negatif,1,13
langgan tonton film buffering wifi kuat tonton tv biru balkon,-12,Negatif,1,10
langgan gak play tulis salah putar konten layan media sedia perangkat silah ulang perangkat coba pl udah restartshutdown tetep aja gak play aneh mending langgan n dah kembali k,-7,Negatif,1,29
film nya bagus,-4,Negatif,2,3
bagus film nya,-4,Negatif,2,3
langgan paket tentu tulis biru langgan film nya tonton,1,Positif,4,9
sdh langgan paket telkomsel tp gak bs nonton film sedih banget,2,Positif,4,11
bagus,-4,Negatif,2,1
puas fiturnya biaya langgan ramah kantong fitur tambah bilang download kartu sd,6,Positif,5,12
aplikasi bagus film suka bahas indonesia sayang film bahasa indonesia mohon banyak film bahasa indonesia nya,-23,Negatif,1,16
disney update versi android tv nya asik layar lebar terima kasih,2,Positif,4,11
aplikasi sdh muncul update versi android tv aplikasi muncul gambar black screen coba filmseries yg tonton gambar muncul play sdh kali reset pabrik uninstal apalikasi coba instal aplikasi hp black screen sinyal wifi fullstabil mohon baik tim developer biar nyaman tonton,-43,Negatif,1,41
paksa bayar dah tau engga uang,-14,Negatif,1,6
bagus,-4,Negatif,2,1
mantab hibur luang berkat bundling paket telkomsel jos,2,Positif,4,8
malas bayar,-7,Negatif,1,2
login aja susah,-2,Negatif,2,3
bagus sih,-4,Negatif,2,2
bayar anjing mahal tu,-6,Negatif,1,4
login pakai nomor byuyg kalo isi paket data bundling langgan disney suruh langgan,-2,Negatif,2,13
nice yg baik,3,Positif,4,3
jelek,-5,Negatif,1,1
aplikasi milik film bagus kerenkeren berlanggannan jangkau ditingkatakan menmbahkan fitur perceptab film tapx cepat nyaman tonton,-10,Negatif,1,16
gak diinstal yah,0,Netral,3,3
daftar nonton film selesai jalan film ngefreez film tonton ngefreez klik film muter loading pakai wifi coba pake kuota tetep aja gak trailer putar sedih suruh nonton trailer aja  uninstall instal aja bikin kapok nonton aplikasi,-25,Negatif,1,36
kerenn,0,Netral,3,1
lumayan bagus susah kode sms masuk langgan,-13,Negatif,1,7
disney hotstar sistem berbayardulu download aplikasi bayar apa kuota khusus nya,-16,Negatif,1,11
bagus bayar,-7,Negatif,1,2
sukaaaaaaaaaaaa banget aplikasi nyaaaaaaaaaaaaaaaa,-3,Negatif,2,4
parah disney jd mahal skarang semenjak ga kerja saka tekomsel,-2,Negatif,2,10
lengkap tolong masuk doang fear the walking dead the walking dead world beyond film,-9,Negatif,1,14
yg download gak play pake data,-3,Negatif,2,6
ga guna,1,Positif,4,2
film avatar hapus disneyhotstar,-3,Negatif,2,4
jelek banget kalah ama netflix bug gajelas,-8,Negatif,1,7
maaf aplikasi disney nya knpa nge bug mohon baik ,-10,Negatif,1,9
harap sih aplikasi bagus kasih bintang aplikasi,-16,Negatif,1,7
kualitas gambar tajam kualitas pecah gambar,0,Netral,3,6
aplikasi langgan tonton rugi ratus ribu baik,-12,Negatif,1,7
bagus,-4,Negatif,2,1
kaga daftar,-3,Negatif,2,2
gaada pilih play speed nya,-5,Negatif,1,5
langgan via pulsa telkomsel kah min ,-1,Negatif,2,6
bagus murah,-6,Negatif,1,2
bayar mahal g nonton kuota bnyak gb telkom wifi ga d tonton heran gua benerin apk nya jgn bayar doang,-18,Negatif,1,20
make karna bonus telkomsel ga bonus telkomsel langsung gw kasi bintang wkwkwkwk,-6,Negatif,1,12
seru,-5,Negatif,1,1
ganti episode full screen buttonnya ilang mesti restart aplikasi muncul,-18,Negatif,1,10
jaring kuat putar video buffering,0,Netral,3,5
bagus,-4,Negatif,2,1
udh ga kerja ya telkomsel yah maaf bintang ya nonton susah hahaha,4,Positif,4,12
yg putar video nya muter gambar gelap silah restart hp nya moga bantu,-7,Negatif,1,13
bener kerja nya tingkat,2,Positif,4,4
langgan gue hilang tonton ya,-2,Negatif,2,5
bagus suka aplikasi ,-9,Negatif,1,3
burik bayar,-3,Negatif,2,2
cacat bgst,-5,Negatif,1,2
mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,Netral,3,2
hibur,0,Netral,3,1
jelek mending netflix,-8,Negatif,1,3
menang nama doang aplikasi muter mulu kuota jaring g pakai operator banyak buffering mending aplikasi belah,-25,Negatif,1,16
guna kecewa rasanyapas nonton seru bufering ulang,-4,Negatif,2,7
sedih banget mo nonton resolusi film pecah pecah udah disetting tetep aja bandingin gunain youtube tiktok instagram lancar lancar aja lot parahhh resolusi rendah udah complain nggak ubah,-13,Negatif,1,28
udah ga langgan pake paket data lgi ya smnjak update aneh,3,Positif,4,11
oke banget,3,Positif,4,2
blur video nya pdhal bagus film nya loh,-10,Negatif,1,8
keren mantap streaming marvel serial kartun america kaya family guy the simpson cocok kerja yg suka rindu suasana sabtu nonton kartun rcti film pixar dubbing bahasa indonesia,-2,Negatif,2,27
subtitle,0,Netral,3,1
kualitas video udah oke bangettapi ga bs dishare medsos,6,Positif,5,9
langgan oke aja nonton disney tv jarang hp udah update nonton hp bug tampil layar freezing ga klik diapain aplikasi force close hp langsung restart udah hapus instal ulang aplikasi ga ubah ga nonton hp device redmi note pro ram rom sisa simpan,-18,Negatif,1,43
skrg disney gabisa streaming ya,4,Positif,4,5
isi paket byu disney hotstar pas play langgan sih,4,Positif,4,9
upload movie variety show or series peran super junior super junior boyband korea legendaris suka,-11,Negatif,1,15
sulit log in,0,Netral,3,3
males langgan semenjak pisah ranjang dgn telkomsel,-5,Negatif,1,7
serius admin disney keren banget deh komen banyak serial drakornya bener bener langsung dongg saran admin nya drakor genre kedokteranhukumnya banyak hehehe makasih disney ,-8,Negatif,1,24
aplikasi ga benah tololl,-4,Negatif,2,4
bayar,-3,Negatif,2,1
stel kualitas tinggi ngeblur,2,Positif,4,4
resolusi sungguh menganggu ganti sendiripdahal sudh pilih yg,-3,Negatif,2,8
udah bayar kasih nonton trailer gimana sih gk muas bangt gk yg tonton trailer doang,-4,Negatif,2,15
bagus rame,-6,Negatif,1,2
filmseriesdan video subtitle nya lambat kadang ndak tolong baik,-2,Negatif,2,9
tambahin metode bayar virtual account nya vitual account bank nya bayar,-11,Negatif,1,11
bayar,-3,Negatif,2,1
bagus,-4,Negatif,2,1
aplikasi bagus  serisnya delay,-11,Negatif,1,4
beli paket combo sakti telkomsel yg include langgan disney hotstar nonton suruh langgan aneh,-1,Negatif,2,14
liter starmaker,0,Netral,3,2
film pixar yg promosi lgbt layak tonton anak,-12,Negatif,1,8
mantap,5,Positif,5,1
suka film nya variasi kl tambahin film korea nya ya terimakasih,8,Positif,5,11
langgan bulan mahal,2,Positif,4,3
nyesel nginstalmasa udah lagan paket mbps udah langgan disney hotstarsekarang bayar aja lagan langgan inti bayar xkecewa w uninstal makasih udah bikin langgan setia kecewa disneyhotstar,0,Netral,3,26
buruk buruk buruk,-15,Negatif,1,3
bagus sip biat sih sip sanget suka lihat flim pokok nya cocok banget suka nonton flim lot,-13,Negatif,1,17
bagus banget nggak,-6,Negatif,1,3
sdh masuk langgan unlimitid telkomsel,-1,Negatif,2,5
yahh gk dapet gratis paket lagi,7,Positif,5,6
salah nl cari google ngak youtube trus gimana putar film,-7,Negatif,1,10
tolong tambah audio bahasa indonesia,-3,Negatif,2,5
,0,Netral,3,1
film india yeah jadu hai jinn y hilang,-1,Negatif,2,8
keren banget app murah langgan mantap,6,Positif,5,6
bagus,-4,Negatif,2,1
loading jaring bagus,-1,Negatif,2,3
aplikasi bagus tp kontrak dg telkomsel sdh,-8,Negatif,1,7
kode otp susah masuk nunggu gk masuk,-11,Negatif,1,7
ngebug kualitas video jlek patah jlek dah pkonya,-3,Negatif,2,8
langgan loh aplikasi nya gak pake ngerestar nadir respon aplikasi tolong perbaikin optimal sampe pelang setia pindah aplikasi bagus,-21,Negatif,1,19
langgan beli paket my telkomseltp nonton koq haus beli lg langganananeh,0,Netral,3,11
aplikasi bagus nonton vidio gratis donlwod vidio nya sekian terima kasih,-3,Negatif,2,11
ga tarik,2,Positif,4,2
aplikasi nya bagus,-8,Negatif,1,3
entar aplikasi bodoh simpan,-7,Negatif,1,4
tolong baik bugnya dr td malam nonton stuck logo doang muter sinyal wifi kenceng paket data ku jg,-6,Negatif,1,18
kartun dulunya disney chanel updatenya kalo disney hostar contoh amphibia the owl house kadang nunggu episode nya disney hostar,4,Positif,4,19
anjir download muter cok baik,-4,Negatif,2,5
jelek aplikasi nya masak nontong g langgan sogok sogok sih,-17,Negatif,1,10
gatel dadi bayar udah pake simpati udah gerat nonton koyo asu,-6,Negatif,1,11
error putar film kode pl mohon baik,-11,Negatif,1,7
film jadul,-3,Negatif,2,2
aplikasi ampas bug terus gabisa pake ya gabisa diinstal ampas banget developer nya,-5,Negatif,1,13
radha krishna nya nggk pdahal suka banget liat radha krishna kecewaa dehh,-1,Negatif,2,12
tani jalan berangkat pulang kerja suguh film tarik,2,Positif,4,8
please disney plus hotstar baik tuh bug nya biar guna nyaman guna,1,Positif,4,12
jaring ngeleg mulu connect sinyal wifi bagus gak banget,-1,Negatif,2,9
beli paket kuita telkomsel gratis nonton disney hotstar ko kaga,5,Positif,5,10
,0,Netral,3,1
udah gak include bareng paket combo sakti telkomsel kecewaa,1,Positif,4,9
apk disneyhostarselama masalahsaya puas layan ,1,Positif,4,5
download aplikasi manfaat,1,Positif,4,3
pasu akun nama,0,Netral,3,3
film,0,Netral,3,1
bagus,-4,Negatif,2,1
sempurna,-3,Negatif,2,1
bagus,-4,Negatif,2,1
mantap film favorit,5,Positif,5,3
pakai aplikasi super sabar internet super cepat muter teruss salaah ,-6,Negatif,1,10
jelek banget gak download gratissss,-4,Negatif,2,5
oke,2,Positif,4,1
overall bgs cmn pas byr error udh bayar loh pdhl,-5,Negatif,1,10
mohon pilih langgan bulan bayar indomart alfamart alfamidi kasih fleksibiltas mudah bayar bintang terima kasih,-10,Negatif,1,15
yg gk ap yg bkin aplikasi begok sih knp nnton vidio semuany cuplikany gmn nnton full vidio ny,-4,Negatif,2,18
langgan telkomsel pas buka aplikasi d suruh bayar langgan gimana nih konsep,-5,Negatif,1,12
layan langgan buruk,-5,Negatif,1,3
buruk milik top up minggu kali tonton film peluk gigit suara apk maket sesal top up tolong baik,-11,Negatif,1,18
pilih langgan bulan sm taun nyoba yg bulan knp gabisa yamalah suruh alih setaunkl emg gabisa bulan ngapain kasih pilih bulananpertaun aneh bgt,-18,Negatif,1,23
oke,2,Positif,4,1
harga langgan jangkau,5,Positif,5,3
paket telkomsel tdk gratis,8,Positif,5,4
udah gak gratis lg ingklud ama paket telkomsel jd rate,8,Positif,5,10
mantap,5,Positif,5,1
mohon baik subtitle cepat hilang ganti,-13,Negatif,1,6
udah langgan disneyplus gak sih,2,Positif,4,5
nggk bayar bulan,-4,Negatif,2,3
nggak login sih,-3,Negatif,2,3
ga buka aplikasi eror mulu,-12,Negatif,1,5
ga dipake ga nyampur paket kouta internet,4,Positif,4,7
tolong film film indonesia keluar baru bioskop update tayang disney hotstar tv android langgan,0,Netral,3,14
masak scrs hrs,-2,Negatif,2,3
keren cuktapi resolusi suka ubah ubah,2,Positif,4,6
koleksi film hibur rumah,4,Positif,4,4
asik nonton pause bentar mo lha loading bgt jaring masalah coba nonton video aplikasi lha lancar coba log out log in lanjutin video tonton gak hapus trus download aplikasi lha gak lanjutin tonton why,-22,Negatif,1,34
knpa g nonton dah lagan nomer telkomsel tetep tulis langgan trus,-1,Negatif,2,11
sdh langgan gak nonton,2,Positif,4,4
nan film titanic hapus hotstar,-3,Negatif,2,5
subtitle bahasa inggris telat nggak sesuai dialog,-12,Negatif,1,7
udah beli paket bayar tambah rp opsi nya pakai credit card ya nggak credit card gimana su,2,Positif,4,17
banyak bug,-3,Negatif,2,2
alam tonton keluarga muas,-3,Negatif,2,4
ya langgan via pulsa indosat kaga aneh bgt,-1,Negatif,2,8
disney hotstar langgan dlu bsa ntn ahh parah,-3,Negatif,2,8
mantap,5,Positif,5,1
tolong developer rubah subtitle nya besar lumayan sulit kali baca nyaman guna mohon timbang terimakasih,1,Positif,4,15
baguss banget pilih film,-1,Negatif,2,4
,0,Netral,3,1
isi data telkomsel bayar ribu tonton mending nonton web download film auto uninstal aplikasi disney hotstar,-22,Negatif,1,16
kualitas top bnyk yg baik tombol lock play tdk otomatis skip sentuh subtitle tutup layar contoh netflix bagus segi aplikasi tv online,-7,Negatif,1,22
coba ya om,3,Positif,4,3
hrus bayar g enak,-7,Negatif,1,4
langgan paket telkomsel yg disney nya gak ya langgan aneh,8,Positif,5,10
oke,2,Positif,4,1
unduh mendownload video eksternal internal jdi yg memori kartu sd,0,Netral,3,10
konten seru khas disney marvel koneksi kualitas video stabil pakai hotspot beda salah aplikasi jenis,-8,Negatif,1,15
kerjasama nya habis provider byu jd uninstalludah gak nonton gratis lagibye bye,1,Positif,4,12
dewasa konfirmasi usia nonton film kena block,-2,Negatif,2,7
gak tau kalo disney udh gak kerja dg telkomsel skrng paket gak akses disney aneh pdhl ,0,Netral,3,16
td nya bagus skrg jd lot pesan salah putar konten drm dr gimana carae bagus,-20,Negatif,1,15
nonton ejen ali musim,0,Netral,3,4
oke,2,Positif,4,1
film nya dah bgstpi film yg sdh download gk bsa diputarloading trs,-3,Negatif,2,12
film marvel lengkap,-3,Negatif,2,3
log web kode verifikasi masuk jam,-6,Negatif,1,6
abdi setan tayang,-1,Negatif,2,3
knp si disney ngerestart ulang app nya film yg download hapus hrs download ulang lagidan ngblank putar baik minat konsument monitor tingkat kualitas nya sampe disney banding akun belah nefx yg nya,-3,Negatif,2,32
udah langgan eh g buka sinyal g tetep g nyambung mohon baik ya langgan tahun ga dipake video udah download g tonton truz maksud apaaa,-3,Negatif,2,25
kalo nonton hp ukur subtitle nya banget,4,Positif,4,7
promo telkomsel aplikasi beli bye bye,-10,Negatif,1,6
bagus,-4,Negatif,2,1
bgus,0,Netral,3,1
film bagus lancar udah langgannan pas nonton hang bufering parah suara jalan gambar henti tolong ya oerbaiki padhal filmnua bagus,-18,Negatif,1,20
ngga putar sih video udah bayar mahal hasil ngga putar langgan nonton film ngilangin duit cumacuma,-1,Negatif,2,16
langgan otomatis tp suruh langgan lg aplikasi aneh,-3,Negatif,2,8
mata duit,-2,Negatif,2,2
mipad ga bs fullscreen gambar cuman paro,-3,Negatif,2,7
iiq llloo,0,Netral,3,2
dingin,-2,Negatif,2,1
bagus,-4,Negatif,2,1
hotstar ku gak bs akses erorr gak tau ngadu mana udah bayar taun g akses ,-11,Negatif,1,15
gelap fix this bug,-4,Negatif,2,4
akwok,0,Netral,3,1
langgan bulan telkomsel login pakai nomernya ko suruh langgan gimnaa sih,1,Positif,4,11
mantapp,0,Netral,3,1
suka blank klo lg setel film,-1,Negatif,2,6
uda langgan loading trs gk buka buka sexjeleknyesel langgan,-2,Negatif,2,9
suka,-1,Negatif,2,1
dpt paket bundling dr telkomsel tp paket bundling tetep potong pas nonton d suruh bayar langgan lg pas coba bayar ga nyusahin,5,Positif,5,22
suka banget aplikasi ,-4,Negatif,2,3
apk bagus bnyk film yg tarik resolusi nya video yg tambilkn sngt bersih,1,Positif,4,13
aplikasi kontolll,-4,Negatif,2,2
pas update ulang tuch cape cuan bintang mwehhe,-1,Negatif,2,8
si disney histar nononton film nya muter muter mulu,-1,Negatif,2,9
hahaha bingung udah mskin film list gaada dftar listnya ketemu si ga liat list katwgori mending ubah aja tempat biar mudah,-12,Negatif,1,21
gak buka aplikasi buka video aplikasi lancar aja gak lag hp rusak jaring yg kuat ya jaring gak,-12,Negatif,1,18
,0,Netral,3,1
hola admin hormat beli d my telkomsel kna tonton tolong gimana,-9,Negatif,1,11
muter doang pas putar vidio ngga gt sinyal g penuh ko loading nya ya samoe ga d puter nonton samoe lari apk rugi deh ,-3,Negatif,2,24
bayar,-3,Negatif,2,1
jelek bayar asik gratis gausah dowload bayar payah,-7,Negatif,1,8
baguss,0,Netral,3,1
beli paket telkomsel plus disney hotsar tarik beli sampe gak pake ya tulis syarat tentu telkomsel tinggal login aneh ya disney plis keburu laku gak pake disneynya rugi day kog tanggap ya bestie,-1,Negatif,2,33
ribet,-4,Negatif,2,1
salah aplikasi streaming filmseries baik versi kualitas layar jg pilih nyambung dgn mudah hp komputerlaptop saran disney banyak series drama korea drama on going drakor dr disney yg bagus snowdrop big mouth thank u disney,-22,Negatif,1,35
astaghfirullah langgan indihome paket disney login otp ga masuk kaga login kacau banget,1,Positif,4,13
download please sistem pause otomatis nyimpen data download ulang jaring buruk sebentar,-11,Negatif,1,12
,0,Netral,3,1
tolong yaa kemarin beli paket my telkomsel tulis plus disney hotstar pake beli paket gak pake ya tolong benah keburu laku abis admineturu,-1,Negatif,2,23
update buka,-3,Negatif,2,2
minus cuman gk atur cahaya play video lebih mantap,-1,Negatif,2,9
ga login udh coba kali msih g,-1,Negatif,2,7
jir udh langgan suruh bayar bngst emng,-6,Negatif,1,7
manteplah nonton film kualitas gambar bagus dapet gratis telkomsel,3,Positif,4,9
bleach udah bayar gk goblokkkk,-3,Negatif,2,5
film nya bagus wreck it ralph,-4,Negatif,2,6
parahhh langgan beli paket kuota bulan my telkomsel yg langgan disneyhotstar knpa pas nonton mesti langgan blm baik,3,Positif,4,18
aplikasi bagusdownload video kualitas oke bgt klo nonton online jaring bagus kualitas video turun,2,Positif,4,14
gabisa buka bego dah langgan gw su,-4,Negatif,2,7
bantu langgan ya coba terimakasih,6,Positif,5,5
video yg didownload ga putar guna download,1,Positif,4,7
kasih bintang  deh,-1,Negatif,2,3
udah ngga kolaborasi telkomsel un instal,-2,Negatif,2,6
all good tpi add more movie ngga hehe kek stranger thing gitu,3,Positif,4,12
semenjak update ga streaming suka aplikasi udah langgan jaring bagus hp oppo a ga nonton streaming,-4,Negatif,2,16
aplikasi buruk video unduh hapus ,-12,Negatif,1,5
bagus sih pilih audio tp film lengkap film serial india gak mohon film serial india,-11,Negatif,1,15
salah platform streaming baik tingkat banyak filmseries nya over all,-7,Negatif,1,10
abis update gk nge streampadahal langgan hot star plus jalan sinyal ok ok ajatolonglah fix rugi njir gw beli langgan hot star plus kalo gk tonton gin mah ,-9,Negatif,1,28
beli paket tsel yg combo sakti sdh langgan disney beli paket combo buka aplikasi langgan ulang x biaya klo bgtu kecewa,-1,Negatif,2,21
gak suka bayar,-4,Negatif,2,3
bete bgt kali dah download film biar tonton offline ehhhh kena drm apa ga tonton sia sia download udah ber giga buang kuota aja,-39,Negatif,1,24
pdahal sya brlangan combo sakti telkomsel tpi aplikasi blom brlnganan pdahal dlu skrang kayak gin,-7,Negatif,1,15
habis pause loading film gabisa tonton tolong baik,-10,Negatif,1,8
pas buka video kemabli menu utama disney,0,Netral,3,7
yg sdh langgan n tahun tdk kecewa penasaran coba untung berlanganan disney th kali kecewa aplikasi tdk bs smart tv login play web tdk mohon jelas dr disney byr th tdk bs main smart tv xbox slalu error suruh hub web disney yg ga bener payah sgt rugi,-27,Negatif,1,48
fortunately for the purchase of the gb quota promo it is almost ga because of the loading of the network by u super snails when you click on the film loading again but he is wearing other networks even better yes it has been sodaqoh ajee but because of his sodaqoh one if there is a minus minus all,-3,Negatif,2,59
anak sukaaa,-3,Negatif,2,2
it develop buat aplikasi tolong buat fitur langgan dg sistem potong pulsa anda yg akses,-10,Negatif,1,15
login via web sulit susah bintang gambaranya,-3,Negatif,2,7
bgs tpi blm avatar,0,Netral,3,4
kecewa disney lg telkomsel langgan setia telkomselalasan telkomsel yg bagussekarang nikmat layan disneypadahal ud nyaman aplikasi inisekrang uninstall,-1,Negatif,2,18
gx langgan telkomsel sih suruh langgan ulang males buka nya ,-5,Negatif,1,10
jelek,-5,Negatif,1,1
keren banget,1,Positif,4,2
bagus good job disney hotstar,1,Positif,4,5
apl nya bagus,-4,Negatif,2,3
langgan gak paket telkomsel,6,Positif,5,4
cantik banget udah ganti kmu disney langsung orang mana sih,-3,Negatif,2,10
loading mulu sinyal bagus aneh,-9,Negatif,1,5
paket kuota telkomsel ,2,Positif,4,3
aplikasi buruk film yg putar tv drm nonton aplikasi website ilegal langgan disney,-11,Negatif,1,13
kau hadir the walking dead versi ful hehe mar the walking dead,-3,Negatif,2,12
langgan paket data telkomseltapi suruh daftar langgan,0,Netral,3,7
kasih bintang paket bulan gabung paket bulan internet combo sakti kecewa,0,Netral,3,11
list episode bingung lanjut episode tonton mana dicaricari gak nemu,-11,Negatif,1,10
langgan yg langsung tahun film agam kecewa resolusi pdhal udh yg gambar bgt ngeblur sinyal bagus,4,Positif,4,16
menganggu aplikasi sesal langgan,-6,Negatif,1,4
yh nonton the walking dead pas episode season gak putar video nya tulis salah putar konten layan media sedia perangkat sila ulang perangkat coba pl plis min gua udah buang gb gua dowload the walking dead season min gak nonton plis min kasih langkah baik makasih,-9,Negatif,1,46
pdahal kali beli paket telkom bonus paket disney hotstar skrg paket bonus udah ga laku gabisa pke nonton langgan dulu aga kecewa sih yah gimana,5,Positif,5,25
knp yaa ko gabisa play muter trus pdhal sinyal bagus yg udh download gabisa play,-6,Negatif,1,15
mantap,5,Positif,5,1
bayar ya udah pas daftar paket telkomsel gin sih ,5,Positif,5,9
gimana sih paket telkomsel terang include langgan bulan dcoba nnton gak aneh,-2,Negatif,2,12
bayar rumit,-8,Negatif,1,2
langgan telkomsel ya cocok tonton bwt anak,-4,Negatif,2,7
inget banget gratis udah bayar wkwk,2,Positif,4,6
assalamualaikum,3,Positif,4,1
baja,0,Netral,3,1
ao ashi episode baru gak ad,0,Netral,3,6
anime bleach years war blood jd tayang disney,3,Positif,4,8
